name,l1,l2,l3,l4,t1,t2
FRONT_L, 208.75, 310.05, 220.00, 263.67,-1.4798935674624327,-3.1361417980153363
REAR_L,  177.70, 308.19, 220.00, 259.30,-1.4601577494675972, 3.141592653589793
